Year,Period,Likes,Comments,Replies,Retweets,Impressions,Engagements,Engagement_rate,Reach,EngagedUsers,TotalPageLikes,NewPageLikes,PageUnlike,URLclicks,Days,EngagementSP,EngagementCP,Target
2015,01-Jan-15,274,19,227,312,2305,9621,417.3969631,399,7888,971,4836,311,149,Thursday,10,65,10
2015,02-Jan-15,874,87,152,192,3815,3031,79.44954128,265,1839,889,4612,703,600,Friday,100,70,10
2015,03-Jan-15,287,100,183,132,7798,9940,127.4685817,205,2009,714,2367,761,634,Saturday,48,22,10
2015,04-Jan-15,937,61,770,275,6443,9327,144.7617569,804,1527,161,4448,397,93,Sunday,65,52,10
2015,05-Jan-15,857,92,569,465,4766,3831,80.38187159,610,1574,513,2568,947,951,Monday,69,30,10
2015,06-Jan-15,464,27,366,184,7942,3794,47.77134223,208,2255,405,862,439,260,Tuesday,12,75,10
2015,07-Jan-15,384,20,908,328,9889,9905,100.1617959,827,4888,492,4241,294,38,Wednesday,30,19,10
2015,08-Jan-15,668,26,832,302,4884,2340,47.91154791,603,1980,965,431,377,392,Thursday,33,60,10
2015,09-Jan-15,432,73,661,259,6128,5778,94.28851175,407,6268,894,1741,94,138,Friday,31,41,10
2015,10-Jan-15,521,23,323,373,4367,3240,74.19280971,632,6780,438,2318,353,98,Saturday,49,22,10
2015,11-Jan-15,736,40,657,410,2608,7505,287.7684049,186,8217,291,3476,70,14,Sunday,92,90,10
2015,12-Jan-15,649,38,369,474,8489,7309,86.09965838,525,9371,951,4144,528,806,Monday,23,72,10
2015,13-Jan-15,279,72,899,260,8974,7857,87.55293069,794,1064,527,2148,163,993,Tuesday,59,69,10
2015,14-Jan-15,939,27,950,465,1356,4551,335.619469,532,9940,601,3677,92,87,Wednesday,32,100,10
2015,15-Jan-15,751,66,358,145,1143,3361,294.0507437,127,7617,656,4117,242,395,Thursday,19,45,10
2015,16-Jan-15,618,54,159,135,8860,5820,65.68848758,822,3740,614,598,93,531,Friday,93,35,10
2015,17-Jan-15,346,94,292,100,4286,6183,144.2603826,875,1076,662,2270,771,702,Saturday,67,60,10
2015,18-Jan-15,291,69,385,242,5801,3003,51.76693674,130,4362,557,1544,818,217,Sunday,98,61,10
2015,19-Jan-15,805,99,544,104,3905,4052,103.7644046,441,8594,452,658,638,195,Monday,11,64,10
2015,20-Jan-15,273,36,433,214,1183,8396,709.7210482,769,9426,785,1391,709,331,Tuesday,60,48,10
2015,21-Jan-15,342,80,481,237,6282,1386,22.06303725,239,3449,42,2458,110,104,Wednesday,59,33,10
2015,22-Jan-15,931,87,645,200,1301,3753,288.4704074,944,1899,685,4679,826,790,Thursday,69,45,10
2015,23-Jan-15,877,34,864,315,1438,8153,566.9680111,569,5155,637,4418,719,915,Friday,72,16,10
2015,24-Jan-15,270,40,165,104,9477,8069,85.14297774,741,4711,179,1220,793,268,Saturday,21,100,10
2015,25-Jan-15,860,53,481,286,6691,9012,134.6883874,502,5188,376,3929,354,290,Sunday,22,64,10
2015,26-Jan-15,709,30,490,304,4272,1514,35.44007491,482,6732,184,4397,903,174,Monday,24,71,10
2015,27-Jan-15,313,50,885,154,6473,6844,105.7315001,700,9614,703,4077,96,889,Tuesday,74,72,10
2015,28-Jan-15,652,21,473,428,6233,6983,112.032729,868,4962,788,141,766,440,Wednesday,62,68,10
2015,29-Jan-15,531,10,254,161,3342,9200,275.2842609,949,9121,541,457,812,815,Thursday,81,16,10
2015,30-Jan-15,711,64,541,220,6497,8136,125.2270279,395,4039,590,979,973,849,Friday,53,50,10
2015,31-Jan-15,319,82,424,221,7573,8707,114.9742506,862,8306,84,3979,556,196,Saturday,56,90,10
2015,01-Feb-15,866,30,872,232,5122,6140,119.8750488,868,3862,378,4060,624,535,Sunday,90,22,10
2015,02-Feb-15,981,54,380,454,2693,9164,340.2896398,115,3323,690,3434,502,444,Monday,54,13,10
2015,03-Feb-15,815,26,204,126,6739,1466,21.75396943,593,6844,338,1002,151,541,Tuesday,21,39,10
2015,04-Feb-15,173,65,999,378,1817,3945,217.1161255,366,7244,249,1699,963,489,Wednesday,79,13,10
2015,05-Feb-15,211,98,350,236,8796,5364,60.98226467,489,5301,486,3296,217,519,Thursday,63,71,10
2015,06-Feb-15,996,54,533,436,3388,9103,268.6835891,579,7233,931,1001,838,904,Friday,85,53,10
2015,07-Feb-15,575,16,430,435,4097,8569,209.1530388,916,9548,818,1553,493,858,Saturday,43,41,10
2015,08-Feb-15,262,80,214,153,5260,2820,53.6121673,227,3817,429,2242,404,551,Sunday,92,66,10
2015,09-Feb-15,619,51,270,268,7114,7458,104.8355356,335,5100,160,4671,639,265,Monday,85,70,10
2015,10-Feb-15,320,18,402,354,7851,8533,108.6867915,772,4934,124,1253,269,939,Tuesday,15,83,10
2015,11-Feb-15,489,31,696,245,2723,3978,146.0888726,575,4578,365,2440,646,400,Wednesday,86,32,10
2015,12-Feb-15,686,26,314,276,3818,3360,88.00419068,115,2075,133,2067,455,505,Thursday,100,73,10
2015,13-Feb-15,176,24,967,455,3583,4582,127.8816634,415,4237,752,3273,170,248,Friday,95,57,10
2015,14-Feb-15,668,34,730,408,4811,6581,136.790688,369,5928,360,4428,979,315,Saturday,61,88,10
2015,15-Feb-15,178,37,385,328,1156,2892,250.1730104,577,1276,443,1952,51,760,Sunday,73,12,10
2015,16-Feb-15,888,24,382,104,7457,4812,64.52997184,632,3430,67,4292,415,348,Monday,43,45,10
2015,17-Feb-15,546,65,124,308,1216,9620,791.1184211,325,9236,683,301,794,827,Tuesday,65,45,10
2015,18-Feb-15,642,94,401,393,8322,8010,96.25090123,904,8552,393,4019,204,241,Wednesday,45,52,10
2015,19-Feb-15,498,11,785,170,8715,1411,16.19047619,997,7591,414,4726,599,615,Thursday,95,52,10
2015,20-Feb-15,255,28,797,189,4297,2152,50.08145218,563,2712,410,2343,640,915,Friday,40,87,10
2015,21-Feb-15,300,53,382,340,5067,7608,150.1480166,503,7123,278,2118,797,19,Saturday,100,57,10
2015,22-Feb-15,905,94,152,238,8083,5531,68.42756402,393,7361,708,3426,36,614,Sunday,92,80,10
2015,23-Feb-15,468,90,568,384,2817,9912,351.8636848,431,8010,384,3943,166,540,Monday,44,50,10
2015,24-Feb-15,610,63,216,383,8659,9980,115.2558032,728,9901,324,2631,985,804,Tuesday,100,24,10
2015,25-Feb-15,240,90,837,243,4096,1883,45.97167969,117,9105,697,2707,240,273,Wednesday,18,97,10
2015,26-Feb-15,103,74,160,199,5129,4368,85.16279977,905,2804,862,3993,775,357,Thursday,42,93,10
2015,27-Feb-15,742,90,853,267,7218,5141,71.22471599,200,6326,684,2740,654,273,Friday,27,26,10
2015,28-Feb-15,476,67,100,277,9948,6698,67.33011661,155,3069,824,3457,914,17,Saturday,34,85,10
2015,01-Mar-15,937,96,567,239,9094,4425,48.65845612,649,9854,663,933,492,322,Sunday,53,71,10
