Year,Qtr,Month,Revenue,Net_profit,Gross_profit,Revenue_Target,Net_Profit_Target%,Expenses,COGS,Profit_margin%,Gross_profit_margin,Net_Profit%,Actual,Budget_LY,Budget_LY/Profit%
2017,Q1,Jan,9216086,326000,295099.2,2000000,90.39%,886094,2713314,0.99,90.52,3.395918585,3446688,2979684,914.0134969
2017,Q1,Feb,1602013,211658,192294,2000000,55.08%,719563,1972931,0.99,90.85,6.547791035,4784836,2493704,1178.176114
2017,Q1,Mar,1840560,133148,121363.2,2000000,70.53%,542438,2790069,0.99,91.15,3.723374952,4491724,3764550,2827.342506
2017,Q2,Apr,9819697,191049,172918.8,2000000,92.87%,699938,3551183,0.99,90.51,9.842184219,2322550,4293192,2247.168004
2017,Q2,May,5410282,42900,40212,2000000,90.25%,527687,1776055,0.96,93.73,0.649441284,1564663,2955113,6888.375291
2017,Q2,Jun,5921541,79505,73065.6,2000000,83.75%,962295,2616187,0.98,91.9,0.968424171,2517244,4680882,5887.531602
2017,Q3,Jul,1448997,35706,34366.5,2000000,51.75%,699124,1593185,0.94,96.25,1.197874784,4341168,2824125,7909.384977
2017,Q3,Aug,5466479,39681,37425.6,2000000,87.45%,685829,1784887,0.95,94.32,0.849716954,4256204,2114719,5329.298657
2017,Q3,Sep,3356007,103615,94597.2,2000000,76.52%,788059,2456559,0.99,91.3,2.253553781,1013130,4392656,4239.401631
2017,Q4,Oct,2546302,65463,60940.8,2000000,70.51%,750812,2519870,0.97,93.09,1.997113988,3465333,1506311,2301.011258
2017,Q4,Nov,4960652,378077,341384.4,2000000,88.40%,575551,1357733,1.00,90.29,16.38725868,2515439,2785984,736.8826985
2017,Q4,Dec,2501101,160846,146083.5,2000000,61.18%,971048,3778586,0.99,90.82,2.096130943,4303254,1718832,1068.619673
2018,Q1,Jan,6124635,-81301,147598.2,2200000,91.79%,502566,3823872,-0.50,-181.55,-2.44308332,1889609,1887053,-2321.069852
2018,Q1,Feb,9858802,-106119,47592,2200000,94.47%,545424,2512476,-2.01,-44.85,-1.461459496,4190306,2854546,-2689.948077
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
